"","fut","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"156",2041-06-05,29.9988235294118,7.54,5.5,3.4,0,5.1,0,9.7,0,3.6
"157",2041-06-06,7.72857142857143,1.3,0.4,0,0,0,0.2,30.9266666666667,0.1,0
"158",2041-06-07,0,0,0,0.6,0,0,0,0.95,5.74,0
"159",2041-06-08,0,0,7.1,0.9,0,9.6,0,6.31999999999993,0,0
"160",2041-06-09,0.0666666666666667,0,0,0.9,0,0.1,0,31.02,0,0
"161",2041-06-10,0,0,0,0.75,0,0,0,9.2,0,0
"162",2041-06-11,0,0,0,0,0,0,0,0.6,0,0
"163",2041-06-12,0,0,0,0,0,0,0,0,0,0
"164",2041-06-13,0,0,0,0,0,0,2,0,17.3666666666667,1.9
"165",2041-06-14,0,0,0,0,0,0,0.9,0,0.7,0
"166",2041-06-15,0,0,0,0,0,0,6.46666666666667,0.8,0.7,1.6
"167",2041-06-16,0,6.31999999999993,0,0,0,0,0,0,0,0
"168",2041-06-17,0,0,0,0,0,0.8,0,0.166666666666606,1.3,5.35
"169",2041-06-18,0,0,0,0.8,0,0,0.8,0.75,0.0666666666666667,12.1333333333333
"170",2041-06-19,4.3,0,0,0.9,0,3.56521739130438,3,12.9760000000001,1.8,4.3
"171",2041-06-20,0,0,0,0,0,0.5,0,1.5,0,3.275
"172",2041-06-21,2.9,0,0,0,0,2.3,0,9.2,0,0.55
"173",2041-06-22,0.0666666666666667,0,0,0.7,0,34.9087011349307,60.9297199170124,7,3.35,0.1
"174",2041-06-23,0,0,0,0.9,0,0,0.7,9.5,6.71666666666667,0
"175",2041-06-24,3.6,0,0,27.3876404494382,0,3.05,0,0,2.75,3.2
"176",2041-06-25,8.65714285714286,0.75,0,0,0.166666666666606,3.47692307692315,6.2,0,7.4,0.1
"177",2041-06-26,5.6,3.8,0,0.1,7.9,0,0,0,0,0
"178",2041-06-27,1.31538461538487,0.8,0,1.8,0,0.1,0,0,0.6,3.7
"179",2041-06-28,4.5,0.75,0,16.6,0.9,0,0,0,0,8.1
"180",2041-06-29,0.2,0,0,40.0603994490357,0,0,0,0,0.0666666666666667,9.6125
"181",2041-06-30,0.65,0,0,20.6176470588235,0,0,0,0,0,0.1
"182",2041-07-01,0,0,0,2.3,4.4,0,0,5.05945945945941,1.7,11.59
"183",2041-07-02,0,0,0,3,0,0,0.1,6.06551724137929,0.1,10.9857142857143
"184",2041-07-03,0,0,11.5375,0,0,0,0,0.4,36.0372258064516,0
"185",2041-07-04,0,0,0,2.3,0,0.25,0,34.5403594771242,3.8,0
"186",2041-07-05,0,0,0,0.95,0,0.5,0,2.9,14,0
"187",2041-07-06,0.2,0,0,34.5672865013774,0,0,0.1,0.5,2.4,12.8
"188",2041-07-07,3,0,0,18.3933333333333,0,0.116666666666606,8.31666666666667,0,7,0
"189",2041-07-08,2.7,25.64,0,0,0.5,3.72173913043479,4.8,0,5.2,4.3
"190",2041-07-09,1.2,0,0,0,0,3.9,0,0,1,0.1
"191",2041-07-10,0,0,0,0,0,0.3,0.166666666666606,0,5.9,0
"192",2041-07-11,0,0,6.55,0,0,44.7027158643941,0,0,9.6,0
"193",2041-07-12,0,0,0,5.275,0,1.3,0,7.47142857142857,9.3,0
"194",2041-07-13,0,2.6,0,0.1,1.4,0,0,0.1,8.5,0
"195",2041-07-14,0,0.0666666666666667,0,19.3,0,0,0,1.4,6.9,0
"196",2041-07-15,0,0.3,2.1,0,0,0,0,1.2,0.1,0.8
"197",2041-07-16,0,0,0,0,0,0,0,3.6,1.7,0
"198",2041-07-17,0,0,0,0.75,3.1,0,0,0,52.2536858744072,11.17
"199",2041-07-18,0,0.1,0,2.3,34.1137114537445,0,0,0,0,3.425
"200",2041-07-19,0.3,0,1.5,4.31818181818184,2.16666666666667,0,10.15,0,50.4703261962925,24.0461538461538
"201",2041-07-20,0,8.9,0.25,0,0.95,0,8.15,0,24.3666666666667,0
"202",2041-07-21,0,8.5,0.116666666666606,8.31666666666667,5.74,0,13.02,7.55714285714286,0.1,0
"203",2041-07-22,0,4.6,0,2.1,0,0,9.775,0,5.74,2.9
"204",2041-07-23,0,21.0809523809524,0,0,0.2,10.8369863013699,0,0,0.6,0.1
"205",2041-07-24,0,3.2,0,2.5,0,3.9,0.95,8.7,0,0
"206",2041-07-25,0,5.98275862068965,0,0,3.66000000000008,0,15.7285714285714,0.166666666666606,0.7,0.1
"207",2041-07-26,3.4,3.2,0.1,9.46666666666667,0,0,0,0.5,1.6,0
"208",2041-07-27,1.31538461538487,1.5,0,3.2,1.3,0,0,1.2,6.63333333333333,9.7
"209",2041-07-28,0,0.0666666666666667,0,0,0,0.116666666666606,11.5941176470589,0.1,8.06666666666667,1.5
"210",2041-07-29,0.2,0.0666666666666667,0,2.3,0,0,5.275,0,0.95,11.24
"211",2041-07-30,0,0,0,34.7046143250689,0,0,3.2,0,0.2,0.8
"212",2041-07-31,4.3,0,0,0,10.6428571428571,0,3.2,0,6.1,0.1
