"","DayMonth","corre_cnrmcclm","corre_cnrmrca","corre_ecearthcclm","corre_ecearthhirham","corre_ecearthracmo","corre_ecearthrca","corre_hadgemrca","corre_ipslrca","corre_mpicclm","corre_mpirca","Baseline"
"50","02-19",95.7737931034483,58.688724137931,86.0814482758621,80.7013793103448,76.2581379310345,60.5472413793103,70.500724137931,58.0054137931035,129.437586206897,122.912448275862,182.500862068966
"51","02-20",97.6979310344828,59.3525172413793,85.4440344827586,86.6525862068965,77.4051034482759,61.6787931034483,72.5074137931035,57.9993793103448,128.731724137931,122.199793103448,182.491068965517
"52","02-21",98.3960689655172,60.403,86.0644482758621,87.7909655172414,77.2718620689655,63.8201379310345,73.2730689655172,59.1618965517241,128.197724137931,122.013068965517,183.07424137931
"53","02-22",98.1561724137931,61.9743793103448,88.322724137931,88.4181034482759,77.8125172413793,64.0421724137931,76.7091724137931,59.7166206896552,127.583793103448,124.141724137931,184.650482758621
"54","02-23",100.401482758621,65.1567586206897,90.8369655172414,91.2858620689655,78.9354827586207,64.9843448275862,81.863,60.3121034482759,129.258344827586,125.686137931034,185.991655172414
"55","02-24",100.614965517241,65.0683793103448,93.9097586206897,94.522724137931,79.1961724137931,65.4590689655172,84.4934827586207,61.8531379310345,129.866793103448,126.844137931034,187.276413793103
"56","02-25",104.544448275862,66.5072068965517,92.9859655172414,96.0476896551724,79.0193103448276,65.759724137931,85.2924482758621,61.5174482758621,129.279586206897,127.400517241379,186.223310344828
"57","02-26",106.677655172414,68.3509310344828,92.5075862068965,95.2310344827586,79.4418965517241,66.4510689655172,86.3817586206897,60.9555862068966,129.985931034483,128.901068965517,187.578482758621
"58","02-27",106.174551724138,68.3689310344828,92.7707586206896,95.217,80.8045517241379,65.9799310344828,88.5716551724138,60.3232413793103,130.871034482759,129.154068965517,188.654655172414
"59","02-28",106.863310344828,67.5107586206897,92.8726896551724,95.0551034482759,80.4487586206897,67.1346896551724,90.6396551724138,59.4898620689655,131.416931034483,130.446620689655,187.963586206897
"61","03-01",105.711344827586,65.7137931034483,91.2643793103448,95.9328965517241,79.0068620689655,65.4974827586207,89.5215517241379,58.2820689655172,132.359862068966,130.779931034483,193.825931034483
"62","03-02",105.271137931034,64.7828275862069,89.3970689655172,97.627724137931,76.9587931034483,64.328275862069,89.7700689655172,58.2171034482759,133.805827586207,130.647206896552,195.329344827586
"63","03-03",103.43375862069,62.6985517241379,88.8954137931034,98.3668620689655,75.8368965517241,63.3555862068966,88.7493448275862,57.039275862069,133.814655172414,130.825413793103,198.567103448276
"64","03-04",102.553034482759,61.9076551724138,89.2412068965517,98.147724137931,73.1552413793103,63.0555862068965,87.3186551724138,56.3109310344828,134.114413793103,132.144551724138,198.932620689655
"65","03-05",103.571034482759,61.2248620689655,90.5773793103448,98.3656551724138,72.6300689655172,62.3939310344828,86.742275862069,56.7556896551724,133.894896551724,131.110689655172,199.645620689655
"66","03-06",102.861724137931,59.6748620689655,93.6130689655172,98.0012068965517,72.196724137931,63.3413448275862,88.2474827586207,55.6528620689655,133.016206896552,130.920482758621,204.942
"67","03-07",100.980275862069,58.1681034482759,94.4492413793104,99.239724137931,71.2346206896552,62.7143448275862,87.5181379310345,55.4817931034483,133.01924137931,129.887448275862,206.038482758621
"68","03-08",100.543655172414,56.9938965517241,93.0467586206897,99.2942413793103,71.7968275862069,61.2963793103448,86.9923103448276,55.3019655172414,134.126862068966,128.902206896552,208.165896551724
"69","03-09",98.3186206896552,55.2504827586207,92.0412068965517,98.3267931034483,71.3668965517241,60.6711724137931,85.7776206896552,54.1257586206897,134.992517241379,128.186896551724,209.430655172414
"70","03-10",96.8752068965517,53.6824137931034,90.6681034482759,98.624724137931,70.8770344827586,60.176724137931,84.6091379310345,53.6055172413793,135.661103448276,126.072379310345,208.602862068966
"71","03-11",95.7414137931034,52.4581034482759,90.0670344827586,97.7781034482759,70.0176896551724,59.7471034482759,84.0268275862069,52.6507586206897,135.62224137931,125.128448275862,209.731379310345
"72","03-12",96.1444137931035,51.4308275862069,88.8468965517241,97.4447931034483,70.5856896551724,58.2333448275862,83.0247931034483,51.9807586206897,135.708379310345,123.731034482759,208.749344827586
"73","03-13",95.6275172413793,50.3278275862069,86.5747931034483,97.5103103448276,70.0067931034483,56.5381379310345,82.0941724137931,51.3952068965517,139.050068965517,123.516896551724,210.591965517241
"74","03-14",95.3758620689655,50.058,85.1766551724138,97.2558275862069,68.9614482758621,55.0969655172414,79.5115862068966,50.8611724137931,141.760034482759,124.162862068966,211.89824137931
"75","03-15",94.3720344827586,48.9829655172414,84.1010689655172,96.6381034482759,68.469,53.8519310344828,78.3456896551724,49.7490689655172,142.610586206897,124.048413793103,211.65175862069
"76","03-16",93.0326896551724,48.2904137931034,82.3986551724138,96.042275862069,68.5015172413793,52.0543103448276,76.2602068965517,49.1898965517241,142.571137931034,122.807689655172,209.631
"77","03-17",92.9150689655172,47.6318275862069,81.1903103448276,95.7617931034483,68.9544137931034,50.9161724137931,75.2435517241379,48.8069655172414,143.124482758621,122.291586206897,208.966586206897
"78","03-18",92.1543793103448,46.3116896551724,80.9885172413793,93.7761724137931,68.4064827586207,49.9956206896552,74.7439310344828,48.5519310344828,143.605034482759,121.069517241379,206.558793103448
