Date,CNRMCCLM,CNRMRCA,ECEARTHCCLM,ECEARTHHIRHAM,ECEARTHRACMO,ECEARTHRCA,HADGEMRCA,IPSLRCA,MPICCLM,MPIRCA
1971-04-24,0.0,3.0,0.1,0.4,5.6,0.0,2.9,0.0,0.1,1.6
1971-04-25,0.1,0.6,0.1,0.1,0.0,0.0,6.3,0.0,0.0,0.0
1971-04-26,0.1,6.5,2.6,0.7,0.3,0.0,2.9,0.0,0.0,0.6
1971-04-27,6.5,8.7,0.0,4.5,0.1,4.3,44.9,0.8,0.5,0.2
1971-04-28,0.7,1.3,0.0,17.2,0.0,1.3,12.7,0.3,0.0,0.0
1971-04-29,25.1,7.9,0.0,10.8,0.0,1.0,1.4,9.9,0.0,0.0
1971-04-30,4.0,1.7,0.0,30.4,5.5,8.7,0.0,0.0,0.0,0.0
1971-05-01,1.3,0.0,1.2,4.3,5.0,0.0,7.8,1.0,0.0,0.0
1971-05-02,5.9,2.1,0.0,0.1,0.4,3.8,0.4,0.2,0.0,0.1
1971-05-03,5.4,21.1,0.2,0.2,0.1,34.4,0.0,1.2,0.1,1.8
1971-05-04,14.8,38.4,14.3,0.1,0.0,0.1,0.0,8.7,1.7,0.1
1971-05-05,8.8,6.4,4.9,0.1,0.3,6.7,0.0,4.5,0.0,0.1
1971-05-06,0.5,1.9,8.0,0.0,0.0,3.7,0.0,10.7,5.8,4.9
1971-05-07,0.0,0.1,3.3,0.0,6.5,0.7,0.2,1.0,1.4,4.1
1971-05-08,0.4,0.6,0.1,0.0,0.0,0.4,0.0,3.6,0.1,1.3
1971-05-09,0.1,0.1,0.1,12.9,0.1,0.4,0.0,15.3,0.1,1.6
1971-05-10,0.0,0.0,1.1,0.0,0.0,0.3,0.0,25.2,2.2,0.3
1971-05-11,0.0,0.0,0.2,0.2,0.0,1.0,0.3,9.1,0.0,0.8
1971-05-12,0.0,0.0,0.1,0.0,0.1,0.4,0.9,0.1,0.0,0.0
1971-05-13,0.0,0.0,4.0,0.0,0.0,3.4,0.3,1.8,0.1,0.1
1971-05-14,0.3,0.0,7.2,0.0,0.0,3.6,10.7,0.0,0.0,0.0
1971-05-15,0.7,0.0,0.0,0.0,0.0,0.0,0.1,1.9,0.0,0.0
1971-05-16,0.0,1.0,0.1,0.0,0.2,0.0,1.8,7.1,0.0,0.1
1971-05-17,0.0,0.1,0.1,0.0,0.1,3.8,0.2,6.1,0.1,0.1
1971-05-18,0.1,0.0,1.7,0.0,0.0,0.1,17.8,0.0,0.0,0.7
1971-05-19,0.0,1.2,0.6,10.2,0.5,17.1,5.0,0.0,0.0,0.5
1971-05-20,3.7,0.0,8.9,27.0,0.0,2.9,0.9,0.0,6.6,7.1
1971-05-21,1.3,0.5,10.5,3.6,0.0,0.2,15.4,15.2,12.2,1.6
1971-05-22,0.0,0.0,0.1,11.2,0.0,0.0,5.7,0.1,10.0,0.0
1971-05-23,0.0,0.0,0.0,0.1,0.0,0.0,1.0,10.0,0.4,12.9
1971-05-24,0.0,0.0,0.3,0.5,0.1,0.0,0.2,13.1,0.7,5.2
1971-05-25,0.0,0.0,8.2,0.0,0.5,0.4,4.8,13.7,0.0,0.9
1971-05-26,0.0,0.0,0.0,0.3,0.0,1.6,2.9,14.7,0.0,5.6
1971-05-27,0.0,0.0,0.0,2.2,0.0,0.0,0.1,2.5,0.3,0.0
1971-05-28,0.9,14.5,0.4,0.1,0.0,5.4,0.0,0.2,10.2,0.5
1971-05-29,5.2,0.5,0.9,0.1,0.1,4.9,0.0,0.0,0.0,0.0
1971-05-30,0.2,0.0,0.4,0.1,6.8,0.1,5.7,0.8,0.0,0.0
1971-05-31,0.0,0.1,0.1,0.0,5.2,0.8,5.7,0.0,0.1,3.3
1971-06-01,0.0,0.0,1.5,4.2,0.1,25.8,0.0,3.4,8.1,15.6
1971-06-02,0.0,0.0,2.1,0.1,0.0,0.1,4.8,5.4,3.3,17.0
1971-06-03,6.6,0.5,0.1,10.1,5.5,5.5,3.3,1.5,14.1,0.9
1971-06-04,8.9,5.5,0.0,16.4,6.0,1.3,7.4,0.3,2.5,0.1
1971-06-05,0.0,0.0,0.3,9.1,0.0,0.0,0.0,0.1,0.2,0.0
1971-06-06,0.0,1.9,0.0,2.6,0.0,0.1,0.0,14.2,2.0,0.0
1971-06-07,0.0,0.5,0.0,3.0,14.0,0.0,0.0,2.7,0.0,0.0
1971-06-08,0.1,0.0,0.0,3.6,0.4,0.0,0.1,0.1,0.0,0.1
1971-06-09,1.9,0.0,0.0,0.0,3.2,0.0,0.0,6.1,0.2,9.3
1971-06-10,6.4,0.0,0.1,16.9,0.2,0.1,0.0,0.1,0.8,3.3
1971-06-11,0.0,0.0,0.0,1.0,0.0,7.4,0.7,0.0,7.5,1.1
1971-06-12,0.0,0.0,0.0,39.8,9.7,0.0,0.0,0.0,4.2,0.2
1971-06-13,0.0,0.0,2.2,6.8,7.9,0.0,0.2,0.1,0.3,7.6
1971-06-14,0.1,0.0,13.9,15.9,3.8,0.0,4.4,0.0,0.0,0.1
1971-06-15,0.1,1.3,0.4,1.5,0.5,0.0,0.5,0.0,15.6,7.2
1971-06-16,0.1,0.1,0.0,22.2,8.6,0.0,0.2,6.3,33.9,8.6
1971-06-17,11.5,17.6,0.0,1.1,1.9,0.0,18.3,0.9,2.4,20.6
1971-06-18,0.1,4.1,0.1,0.0,0.1,0.0,0.0,5.4,0.0,0.1
1971-06-19,0.0,0.0,0.0,0.0,3.1,0.0,14.5,7.9,11.3,7.2
1971-06-20,0.1,0.1,0.8,15.2,8.4,0.0,11.1,0.3,9.8,2.6
1971-06-21,0.0,0.1,2.2,0.0,0.2,0.2,0.1,0.8,2.2,0.0
1971-06-22,0.1,0.0,0.0,9.8,0.7,14.6,0.0,8.5,0.0,0.0
1971-06-23,0.0,0.0,0.0,6.8,5.7,0.7,0.1,1.1,0.0,0.0
1971-06-24,0.0,0.0,0.2,0.0,5.6,0.2,2.6,0.0,0.9,0.0
1971-06-25,0.0,2.0,2.4,1.5,0.1,6.1,10.0,0.0,0.0,0.1
1971-06-26,2.2,3.8,4.2,6.4,0.0,0.0,3.8,0.0,0.1,1.6
1971-06-27,0.9,0.1,1.4,0.5,0.2,0.5,6.0,0.0,13.1,16.4
1971-06-28,0.1,0.9,0.2,0.0,5.6,8.6,1.4,0.1,11.7,2.3
1971-06-29,1.5,1.2,0.8,12.8,0.1,0.1,4.1,0.0,4.3,1.3
1971-06-30,0.1,2.0,0.2,4.4,0.1,0.1,8.2,0.0,22.1,0.4
1971-07-01,0.3,0.1,0.0,4.8,0.3,6.2,1.4,0.4,0.0,0.1
1971-07-02,0.1,0.1,0.3,3.0,1.2,0.0,0.0,15.9,2.1,0.3
1971-07-03,0.9,0.0,0.1,0.0,30.6,0.0,0.0,3.3,31.0,0.6
1971-07-04,0.1,0.0,0.1,0.0,6.3,0.0,0.1,0.1,11.7,18.9
1971-07-05,2.6,0.0,1.3,10.9,0.0,1.2,25.8,0.1,7.3,0.7
