"","DayMonth","corre_cnrmcclm","Baseline"
"177","06-25",2.75762068965517,4.02996551724138
"178","06-26",2.39496551724138,4.38024137931034
"179","06-27",2.34331034482759,4.03493103448276
"180","06-28",2.397,3.51744827586207
"181","06-29",2.46768965517241,3.15206896551724
"182","06-30",2.73844827586207,2.98820689655172
"183","07-01",2.75562068965517,3.11406896551724
"184","07-02",2.53406896551724,3.44524137931034
"185","07-03",2.23062068965517,3.51348275862069
"186","07-04",2.13768965517241,3.26189655172414
"187","07-05",2.46306896551724,2.94979310344828
"188","07-06",2.6001724137931,2.79006896551724
"189","07-07",2.39768965517241,3.00224137931034
"190","07-08",2.23072413793103,3.32406896551724
"191","07-09",1.91296551724138,3.73813793103448
"192","07-10",1.64713793103448,4.16793103448276
"193","07-11",1.54724137931034,4.34796551724138
"194","07-12",1.50951724137931,4.67086206896552
"195","07-13",1.40334482758621,4.46203448275862
"196","07-14",1.2728275862069,4.2268275862069
"197","07-15",1.19910344827586,3.89986206896552
"198","07-16",1.17986206896552,3.69075862068965
"199","07-17",1.1138275862069,3.90931034482759
"200","07-18",1.11524137931034,4.58175862068966
"201","07-19",1.29248275862069,5.10534482758621
"202","07-20",1.46648275862069,5.38155172413793
"203","07-21",1.63389655172414,5.73193103448276
"204","07-22",1.59541379310345,5.49862068965517
"205","07-23",1.51293103448276,4.69065517241379
"206","07-24",1.4791724137931,4.65420689655172
"207","07-25",1.64168965517241,4.64265517241379
"208","07-26",1.9611724137931,4.19620689655172
"209","07-27",1.958,3.85358620689655
"210","07-28",2.30303448275862,4.10865517241379
"211","07-29",2.87913793103448,4.98379310344828
"212","07-30",2.6968275862069,4.92924137931035
"213","07-31",2.38555172413793,4.12831034482759
"214","08-01",2.44120689655172,3.86796551724138
"215","08-02",4.71486206896552,3.97224137931034
"216","08-03",5.44924137931034,3.87620689655172
"217","08-04",3.73089655172414,3.70293103448276
"218","08-05",3.217,4.00731034482759
"219","08-06",3.40379310344828,4.39162068965517
"220","08-07",3.38268965517241,4.02075862068966
"221","08-08",2.89955172413793,3.85393103448276
"222","08-09",2.61544827586207,3.80244827586207
"223","08-10",2.79403448275862,3.79113793103448
"224","08-11",3.00555172413793,5.01955172413793
"225","08-12",2.8478275862069,6.36037931034483
"226","08-13",2.92075862068965,5.67393103448276
"227","08-14",3.04313793103448,4.84731034482759
"228","08-15",3.25048275862069,5.35962068965517
"229","08-16",3.338,6.42148275862069
"230","08-17",3.216,6.67327586206897
"231","08-18",3.3098275862069,5.858
"232","08-19",3.55531034482759,5.29731034482759
"233","08-20",3.7388275862069,5.18151724137931
"234","08-21",3.64858620689655,6.18851724137931
"235","08-22",3.33372413793103,6.69003448275862
"236","08-23",3.00506896551724,6.1598275862069
"237","08-24",2.83444827586207,5.58724137931034
"238","08-25",2.97341379310345,4.78751724137931
"239","08-26",3.13813793103448,4.77058620689655
"240","08-27",3.26355172413793,6.066
"241","08-28",3.48575862068966,6.61862068965517
"242","08-29",3.2601724137931,6.56275862068965
"243","08-30",3.04555172413793,6.41834482758621
"244","08-31",2.7078275862069,7.13841379310345
"245","09-01",2.77764285714286,6.17253571428571
"246","09-02",2.95496551724138,5.01751724137931
"247","09-03",3.60755172413793,5.24458620689655
"248","09-04",4.034,5.54865517241379
"249","09-05",3.8158275862069,6.34103448275862
"250","09-06",3.59979310344828,6.95789655172414
"251","09-07",3.52075862068966,7.66979310344828
"252","09-08",3.06093103448276,9.07420689655172
"253","09-09",3.23524137931034,8.829
"254","09-10",3.29920689655172,7.92203448275862
"255","09-11",3.00093103448276,7.73155172413793
"256","09-12",3.12862068965517,7.6768275862069
"257","09-13",3.2628275862069,7.86062068965517
"258","09-14",3.35403448275862,7.349
"259","09-15",3.14351724137931,7.55689655172414
"260","09-16",2.9408275862069,8.03675862068966
"261","09-17",2.91896551724138,7.56313793103448
"262","09-18",3.02793103448276,7.55186206896552
"263","09-19",3.23072413793103,8.12834482758621
"264","09-20",3.85444827586207,8.42255172413793
"265","09-21",3.6218275862069,8.45434482758621
"266","09-22",3.41372413793103,8.65465517241379
"267","09-23",3.78668965517241,8.01951724137931
"268","09-24",4.27572413793103,6.74141379310345
"269","09-25",4.56548275862069,6.57479310344828
"270","09-26",4.4648275862069,6.58203448275862
"271","09-27",4.0091724137931,6.30893103448276
"272","09-28",3.67844827586207,6.96124137931035
"273","09-29",3.47544827586207,7.223
"274","09-30",3.39927586206897,8.37465517241379
"275","10-01",3.62886206896552,9.89572413793104
"276","10-02",4.47306896551724,13.1432068965517
"277","10-03",7.01803448275862,15.9963103448276
"278","10-04",9.10268965517241,16.4371034482759
"279","10-05",9.44603448275862,14.4734827586207
"280","10-06",8.89,13.0668965517241
"281","10-07",9.9301724137931,13.4399310344828
"282","10-08",11.8725517241379,14.7331724137931
"283","10-09",10.3582068965517,14.8774137931034
"284","10-10",8.92693103448276,14.2324137931034
"285","10-11",8.53689655172414,13.224
