Year	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
1989	0.770857142857143	0.127428571428571	0.246428571428571	0.151142857142857	0.203428571428571	0.175857142857143	0.137285714285714	0.253714285714286	0.209714285714286	0.216	0.186285714285714
1990	0.0664285714285714	0.103857142857143	0.164428571428571	0.123714285714286	0.127571428571429	0.187857142857143	0.127714285714286	0.160428571428571	0.151857142857143	0.148285714285714	0.154142857142857
1991	1.00071428571429	0.0711428571428571	0.074	0.0784285714285714	0.0648571428571429	0.063	0.0588571428571429	0.0604285714285714	0.0627142857142857	0.108	0.0842857142857143
1992	1.66885714285714	0.00557142857142857	0.00628571428571429	0.00614285714285714	0.00742857142857143	0.00714285714285714	0.00542857142857143	0.00828571428571429	0.00714285714285714	0.008	0.00757142857142857
1993	0.282285714285714	0.0425714285714286	0.071	0.0382857142857143	0.0678571428571429	0.0422857142857143	0.0311428571428571	0.0875714285714286	0.0552857142857143	0.0698571428571429	0.0481428571428571
1994	0.134285714285714	0.079	0.184571428571429	0.0834285714285714	0.131857142857143	0.156714285714286	0.075	0.195	0.134571428571429	0.156	0.119714285714286
1995	0.112142857142857	0.0135714285714286	0.0512857142857143	0.0244285714285714	0.0268571428571429	0.0717142857142857	0.0264285714285714	0.051	0.0451428571428571	0.0374285714285714	0.0422857142857143
1996	1.38114285714286	0.0742857142857143	0.187857142857143	0.0967142857142857	0.105285714285714	0.222857142857143	0.099	0.200142857142857	0.162	0.155	0.151857142857143
1997	0.886428571428571	0.0452857142857143	0.170714285714286	0.0731428571428571	0.0781428571428571	0.186857142857143	0.0871428571428571	0.158571428571429	0.148285714285714	0.123857142857143	0.137428571428571
1998	0.502	0.539	0.638571428571429	0.425285714285714	0.405857142857143	0.626714285714286	0.589571428571429	0.691285714285714	0.691714285714286	0.876857142857143	0.712428571428571
1999	0.364857142857143	0.101428571428571	0.291285714285714	0.135857142857143	0.150142857142857	0.366857142857143	0.158	0.267857142857143	0.253428571428571	0.226	0.237285714285714
2000	0.392428571428571	0.402285714285714	1.21385714285714	0.653571428571429	0.667428571428571	1.19671428571429	0.704428571428571	1.231	1.14828571428571	0.915857142857143	1.04671428571429
