Date	Baseline	corre_cnrmcclm
2073-01-27	199.567	65.868
2073-01-28	203.191	64.789
2073-01-29	203.65	68.614
2073-01-30	206.58	74.748
2073-01-31	206.58	79.153
2073-02-01	206.58	81.55
2073-02-02	206.58	84.979
2073-02-03	206.58	85.774
2073-02-04	206.58	83.082
2073-02-05	206.58	81.49
2073-02-06	206.846	97.65
2073-02-07	234.099	85.839
2073-02-08	247.859	78.903
2073-02-09	248.037	78.804
2073-02-10	248.037	79.969
2073-02-11	274.225	79.65
2073-02-12	279.488	79.65
2073-02-13	272.298	101.351
2073-02-14	266.237	88.436
2073-02-15	265.903	82.391
2073-02-16	264.934	81.705
2073-02-17	264.934	78.213
2073-02-18	262.404	74.759
2073-02-19	257.567	74.759
2073-02-20	253.987	101.234
2073-02-21	242.091	101.144
2073-02-22	243.267	95.802
2073-02-23	243.267	110.935
2073-02-24	243.267	118.472
2073-02-25	243.267	118.769
2073-02-26	249.431	118.678
2073-02-27	257.687	118.678
2073-02-28	258.93	129.157
2073-03-01	258.93	122.497
2073-03-02	258.93	123.94
2073-03-03	258.93	122.95
2073-03-04	259.108	121.355
2073-03-05	259.108	116.911
2073-03-06	259.108	115.423
2073-03-07	259.108	112.28
2073-03-08	260.35	112.28
2073-03-09	262.996	112.28
2073-03-10	270.388	112.28
2073-03-11	270.653	112.28
2073-03-12	272.714	112.28
2073-03-13	284.12	116.071
2073-03-14	283.22	114.375
2073-03-15	283.123	112.123
2073-03-16	285.265	105.739
2073-03-17	285.265	102.699
2073-03-18	285.353	96.637
2073-03-19	285.353	92.537
2073-03-20	285.353	86.973
2073-03-21	285.353	82.672
2073-03-22	285.353	81.159
2073-03-23	285.353	80.167
2073-03-24	285.353	79.843
2073-03-25	285.353	77.942
2073-03-26	285.353	77.915
2073-03-27	285.353	77.915
2073-03-28	285.353	77.915
2073-03-29	285.708	76.251
2073-03-30	296.006	72.782
2073-03-31	296.257	66.719
2073-04-01	303.521	61.52
2073-04-02	295.965	56.866
2073-04-03	288.269	52.508
2073-04-04	277.307	48.376
2073-04-05	274.14	43.745
2073-04-06	267.523	39.576
2073-04-07	267.326	36.491
2073-04-08	261.115	32.714
2073-04-09	252.036	30.639
2073-04-10	243.504	28.173
2073-04-11	241.857	25.258
2073-04-12	236.638	23.834
2073-04-13	236.61	22.212
2073-04-14	236.61	20.437
2073-04-15	245.244	18.848
2073-04-16	245.332	17.38
2073-04-17	242.505	15.526
2073-04-18	240.491	13.933
2073-04-19	235.869	12.62
2073-04-20	231.565	12.178
2073-04-21	228.921	11.538
2073-04-22	224.482	14.922
2073-04-23	217.588	13.739
2073-04-24	204.858	12.812
2073-04-25	193.268	12.088
2073-04-26	184.797	11.25
2073-04-27	173.402	10.209
2073-04-28	163.917	9.254
2073-04-29	155.871	8.691
2073-04-30	148.736	8.369
2073-05-01	140.678	8.296
2073-05-02	132.997	7.982
2073-05-03	120.412	7.464
2073-05-04	112.831	7.063
2073-05-05	106.625	6.297
2073-05-06	99.362	5.628
2073-05-07	90.893	4.979
2073-05-08	80.328	4.5
2073-05-09	68.643	4.13
2073-05-10	56.537	3.474
2073-05-11	46.198	2.798
2073-05-12	36.981	2.199
2073-05-13	29.506	1.63
2073-05-14	23.623	1.088
2073-05-15	19.732	0.646
2073-05-16	16.095	0.279
2073-05-17	13.794	0.095
2073-05-18	11.722	0.007
2073-05-19	10.182	0
2073-05-20	9.162	0
2073-05-21	8.186	0
2073-05-22	7.153	0
2073-05-23	6.03	0
2073-05-24	4.871	0
2073-05-25	4.032	0
2073-05-26	3.367	0
2073-05-27	2.728	0
2073-05-28	1.875	0
2073-05-29	1.198	0
2073-05-30	0.694	0
2073-05-31	0.36	0
2073-06-01	0.131	0
2073-06-02	0.052	0
2073-06-03	0.002	0
2073-06-04	0	0
2073-06-05	0	0
2073-06-06	0	0
2073-06-07	0	0
2073-06-08	0	0
2073-06-09	0	0
2073-06-10	0	0
2073-06-11	0	0
2073-06-12	0	0
2073-06-13	0	0
2073-06-14	0	0
2073-06-15	0	0
2073-06-16	0	0
2073-06-17	0	0
2073-06-18	0	0
2073-06-19	0	0
2073-06-20	0	0
2073-06-21	0	0
2073-06-22	0	0
2073-06-23	0	0
2073-06-24	0	0
2073-06-25	0	0
