"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5229",1971-04-26,2.844,2.08,2.218,2.633,3.156,3.165,4.873,1.516,1.373,1.987
"5230",1971-04-27,2.144,1.38,1.518,1.933,2.456,2.465,4.173,0.816,0.673,1.287
"5231",1971-04-28,2.744,1.98,2.118,2.533,3.056,3.065,4.773,1.416,1.273,1.887
"5232",1971-04-29,2.844,2.08,2.218,2.633,3.156,3.165,4.873,1.516,1.373,1.987
"5233",1971-04-30,3.944,3.18,3.318,3.733,4.256,4.265,5.973,2.616,2.473,3.087
"5234",1971-05-01,3.853,5.52,3.548,3.842,4.133,5.666,5.936,4.817,3.088,4.143
"5235",1971-05-02,4.753,6.42,4.448,4.742,5.033,6.566,6.836,5.717,3.988,5.043
"5236",1971-05-03,7.353,9.02,7.048,7.342,7.633,9.166,9.436,8.317,6.588,7.643
"5237",1971-05-04,8.453,10.12,8.148,8.442,8.733,10.266,10.536,9.417,7.688,8.743
"5238",1971-05-05,9.153,10.82,8.848,9.142,9.433,10.966,11.236,10.117,8.388,9.443
"5239",1971-05-06,8.353,10.02,8.048,8.342,8.633,10.166,10.436,9.317,7.588,8.643
"5240",1971-05-07,9.553,11.22,9.248,9.542,9.833,11.366,11.636,10.517,8.788,9.843
"5241",1971-05-08,10.153,11.82,9.848,10.142,10.433,11.966,12.236,11.117,9.388,10.443
"5242",1971-05-09,11.553,13.22,11.248,11.542,11.833,13.366,13.636,12.517,10.788,11.843
"5243",1971-05-10,12.553,14.22,12.248,12.542,12.833,14.366,14.636,13.517,11.788,12.843
"5244",1971-05-11,11.153,12.82,10.848,11.142,11.433,12.966,13.236,12.117,10.388,11.443
"5245",1971-05-12,12.853,14.52,12.548,12.842,13.133,14.666,14.936,13.817,12.088,13.143
"5246",1971-05-13,11.453,13.12,11.148,11.442,11.733,13.266,13.536,12.417,10.688,11.743
"5247",1971-05-14,12.553,14.22,12.248,12.542,12.833,14.366,14.636,13.517,11.788,12.843
"5248",1971-05-15,11.953,13.62,11.648,11.942,12.233,13.766,14.036,12.917,11.188,12.243
"5249",1971-05-16,11.053,12.72,10.748,11.042,11.333,12.866,13.136,12.017,10.288,11.343
"5250",1971-05-17,10.453,12.12,10.148,10.442,10.733,12.266,12.536,11.417,9.688,10.743
"5251",1971-05-18,11.753,13.42,11.448,11.742,12.033,13.566,13.836,12.717,10.988,12.043
"5252",1971-05-19,10.153,11.82,9.848,10.142,10.433,11.966,12.236,11.117,9.388,10.443
"5253",1971-05-20,9.453,11.12,9.148,9.442,9.733,11.266,11.536,10.417,8.688,9.743
"5254",1971-05-21,9.053,10.72,8.748,9.042,9.333,10.866,11.136,10.017,8.288,9.343
"5255",1971-05-22,11.853,13.52,11.548,11.842,12.133,13.666,13.936,12.817,11.088,12.143
"5256",1971-05-23,10.453,12.12,10.148,10.442,10.733,12.266,12.536,11.417,9.688,10.743
"5257",1971-05-24,9.953,11.62,9.648,9.942,10.233,11.766,12.036,10.917,9.188,10.243
"5258",1971-05-25,9.153,10.82,8.848,9.142,9.433,10.966,11.236,10.117,8.388,9.443
"5259",1971-05-26,8.853,10.52,8.548,8.842,9.133,10.666,10.936,9.817,8.088,9.143
