"","Date","Obs","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"5231",1971-04-28,0.3,"04",0.3336,0.3117,0.3198,0.3459,0.3528,0.3318,0.3354,0.4077,0.4446,0.4179
"5232",1971-04-29,1.6,"04",1.7792,1.6624,1.7056,1.8448,1.8816,1.7696,1.7888,2.1744,2.3712,2.2288
"5233",1971-04-30,0,"04",0,0,0,0,0,0,0,0,0,0
"5234",1971-05-01,0,"05",0,0,0,0,0,0,0,0,0,0
"5235",1971-05-02,0,"05",0,0,0,0,0,0,0,0,0,0
"5236",1971-05-03,0,"05",0,0,0,0,0,0,0,0,0,0
"5237",1971-05-04,0,"05",0,0,0,0,0,0,0,0,0,0
"5238",1971-05-05,0,"05",0,0,0,0,0,0,0,0,0,0
"5239",1971-05-06,0,"05",0,0,0,0,0,0,0,0,0,0
"5240",1971-05-07,0,"05",0,0,0,0,0,0,0,0,0,0
"5241",1971-05-08,0,"05",0,0,0,0,0,0,0,0,0,0
"5242",1971-05-09,1.2,"05",1.1724,1.3524,1.3212,1.5492,1.1928,1.3272,1.308,1.4604,1.7496,1.6236
"5243",1971-05-10,0,"05",0,0,0,0,0,0,0,0,0,0
"5244",1971-05-11,0.1,"05",0.0977,0.1127,0.1101,0.1291,0.0994,0.1106,0.109,0.1217,0.1458,0.1353
"5245",1971-05-12,0,"05",0,0,0,0,0,0,0,0,0,0
"5246",1971-05-13,0.3,"05",0.2931,0.3381,0.3303,0.3873,0.2982,0.3318,0.327,0.3651,0.4374,0.4059
"5247",1971-05-14,0,"05",0,0,0,0,0,0,0,0,0,0
"5248",1971-05-15,0,"05",0,0,0,0,0,0,0,0,0,0
"5249",1971-05-16,0.2,"05",0.1954,0.2254,0.2202,0.2582,0.1988,0.2212,0.218,0.2434,0.2916,0.2706
"5250",1971-05-17,8.8,"05",8.5976,9.9176,9.6888,11.3608,8.7472,9.7328,9.592,10.7096,12.8304,11.9064
"5251",1971-05-18,7,"05",6.839,7.889,7.707,9.037,6.958,7.742,7.63,8.519,10.206,9.471
"5252",1971-05-19,0,"05",0,0,0,0,0,0,0,0,0,0
"5253",1971-05-20,0.4,"05",0.3908,0.4508,0.4404,0.5164,0.3976,0.4424,0.436,0.4868,0.5832,0.5412
"5254",1971-05-21,0.3,"05",0.2931,0.3381,0.3303,0.3873,0.2982,0.3318,0.327,0.3651,0.4374,0.4059
"5255",1971-05-22,0,"05",0,0,0,0,0,0,0,0,0,0
"5256",1971-05-23,0,"05",0,0,0,0,0,0,0,0,0,0
"5257",1971-05-24,0,"05",0,0,0,0,0,0,0,0,0,0
"5258",1971-05-25,0,"05",0,0,0,0,0,0,0,0,0,0
"5259",1971-05-26,0,"05",0,0,0,0,0,0,0,0,0,0
"5260",1971-05-27,0,"05",0,0,0,0,0,0,0,0,0,0
"5261",1971-05-28,0.5,"05",0.4885,0.5635,0.5505,0.6455,0.497,0.553,0.545,0.6085,0.729,0.6765
"5262",1971-05-29,51.3,"05",50.1201,57.8151,56.4813,66.2283,50.9922,56.7378,55.917,62.4321,74.7954,69.4089
"5263",1971-05-30,25.8,"05",25.2066,29.0766,28.4058,33.3078,25.6452,28.5348,28.122,31.3986,37.6164,34.9074
"5264",1971-05-31,0,"05",0,0,0,0,0,0,0,0,0,0
"5265",1971-06-01,0,"06",0,0,0,0,0,0,0,0,0,0
"5266",1971-06-02,0,"06",0,0,0,0,0,0,0,0,0,0
"5267",1971-06-03,0,"06",0,0,0,0,0,0,0,0,0,0
"5268",1971-06-04,0,"06",0,0,0,0,0,0,0,0,0,0
"5269",1971-06-05,0,"06",0,0,0,0,0,0,0,0,0,0
"5270",1971-06-06,0,"06",0,0,0,0,0,0,0,0,0,0
"5271",1971-06-07,0,"06",0,0,0,0,0,0,0,0,0,0
"5272",1971-06-08,0,"06",0,0,0,0,0,0,0,0,0,0
"5273",1971-06-09,1.9,"06",2.3598,2.204,1.9551,1.8487,1.7632,2.052,2.1299,2.033,1.7252,2.1489
"5274",1971-06-10,0.2,"06",0.2484,0.232,0.2058,0.1946,0.1856,0.216,0.2242,0.214,0.1816,0.2262
"5275",1971-06-11,0,"06",0,0,0,0,0,0,0,0,0,0
"5276",1971-06-12,0,"06",0,0,0,0,0,0,0,0,0,0
"5277",1971-06-13,0,"06",0,0,0,0,0,0,0,0,0,0
"5278",1971-06-14,0,"06",0,0,0,0,0,0,0,0,0,0
"5279",1971-06-15,0,"06",0,0,0,0,0,0,0,0,0,0
"5280",1971-06-16,0,"06",0,0,0,0,0,0,0,0,0,0
"5281",1971-06-17,0,"06",0,0,0,0,0,0,0,0,0,0
"5282",1971-06-18,6.5,"06",8.073,7.54,6.6885,6.3245,6.032,7.02,7.2865,6.955,5.902,7.3515
"5283",1971-06-19,0,"06",0,0,0,0,0,0,0,0,0,0
"5284",1971-06-20,0.1,"06",0.1242,0.116,0.1029,0.0973,0.0928,0.108,0.1121,0.107,0.0908,0.1131
"5285",1971-06-21,2.6,"06",3.2292,3.016,2.6754,2.5298,2.4128,2.808,2.9146,2.782,2.3608,2.9406
"5286",1971-06-22,3.4,"06",4.2228,3.944,3.4986,3.3082,3.1552,3.672,3.8114,3.638,3.0872,3.8454
"5287",1971-06-23,1.2,"06",1.4904,1.392,1.2348,1.1676,1.1136,1.296,1.3452,1.284,1.0896,1.3572
"5288",1971-06-24,0,"06",0,0,0,0,0,0,0,0,0,0
"5289",1971-06-25,3.8,"06",4.7196,4.408,3.9102,3.6974,3.5264,4.104,4.2598,4.066,3.4504,4.2978
"5290",1971-06-26,0.1,"06",0.1242,0.116,0.1029,0.0973,0.0928,0.108,0.1121,0.107,0.0908,0.1131
"5291",1971-06-27,6.9,"06",8.5698,8.004,7.1001,6.7137,6.4032,7.452,7.7349,7.383,6.2652,7.8039
"5292",1971-06-28,0,"06",0,0,0,0,0,0,0,0,0,0
"5293",1971-06-29,0,"06",0,0,0,0,0,0,0,0,0,0
"5294",1971-06-30,0,"06",0,0,0,0,0,0,0,0,0,0
"5295",1971-07-01,0,"07",0,0,0,0,0,0,0,0,0,0
"5296",1971-07-02,0,"07",0,0,0,0,0,0,0,0,0,0
"5297",1971-07-03,0,"07",0,0,0,0,0,0,0,0,0,0
"5298",1971-07-04,0,"07",0,0,0,0,0,0,0,0,0,0
"5299",1971-07-05,0,"07",0,0,0,0,0,0,0,0,0,0
"5300",1971-07-06,0,"07",0,0,0,0,0,0,0,0,0,0
"5301",1971-07-07,0,"07",0,0,0,0,0,0,0,0,0,0
"5302",1971-07-08,0,"07",0,0,0,0,0,0,0,0,0,0
"5303",1971-07-09,0,"07",0,0,0,0,0,0,0,0,0,0
"5304",1971-07-10,0,"07",0,0,0,0,0,0,0,0,0,0
"5305",1971-07-11,0,"07",0,0,0,0,0,0,0,0,0,0
"5306",1971-07-12,0,"07",0,0,0,0,0,0,0,0,0,0
"5307",1971-07-13,0,"07",0,0,0,0,0,0,0,0,0,0
"5308",1971-07-14,0,"07",0,0,0,0,0,0,0,0,0,0
"5309",1971-07-15,0,"07",0,0,0,0,0,0,0,0,0,0
"5310",1971-07-16,0,"07",0,0,0,0,0,0,0,0,0,0
"5311",1971-07-17,0.4,"07",0.2644,0.4144,0.2888,0.3456,0.462,0.3284,0.3996,0.4096,0.3404,0.3772
"5312",1971-07-18,0.3,"07",0.1983,0.3108,0.2166,0.2592,0.3465,0.2463,0.2997,0.3072,0.2553,0.2829
"5313",1971-07-19,1.9,"07",1.2559,1.9684,1.3718,1.6416,2.1945,1.5599,1.8981,1.9456,1.6169,1.7917
"5314",1971-07-20,0,"07",0,0,0,0,0,0,0,0,0,0
"5315",1971-07-21,0.2,"07",0.1322,0.2072,0.1444,0.1728,0.231,0.1642,0.1998,0.2048,0.1702,0.1886
"5316",1971-07-22,0,"07",0,0,0,0,0,0,0,0,0,0
"5317",1971-07-23,0,"07",0,0,0,0,0,0,0,0,0,0
"5318",1971-07-24,0,"07",0,0,0,0,0,0,0,0,0,0
"5319",1971-07-25,16.3,"07",10.7743,16.8868,11.7686,14.0832,18.8265,13.3823,16.2837,16.6912,13.8713,15.3709
"5320",1971-07-26,1.7,"07",1.1237,1.7612,1.2274,1.4688,1.9635,1.3957,1.6983,1.7408,1.4467,1.6031
"5321",1971-07-27,7.6,"07",5.0236,7.8736,5.4872,6.5664,8.778,6.2396,7.5924,7.7824,6.4676,7.1668
"5322",1971-07-28,0,"07",0,0,0,0,0,0,0,0,0,0
"5323",1971-07-29,0,"07",0,0,0,0,0,0,0,0,0,0
"5324",1971-07-30,11.5,"07",7.6015,11.914,8.303,9.936,13.2825,9.4415,11.4885,11.776,9.7865,10.8445
"5325",1971-07-31,5,"07",3.305,5.18,3.61,4.32,5.775,4.105,4.995,5.12,4.255,4.715
