"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5221",1971-04-18,2.0596,2.2762,2.2382,1.7309,2.2591,2.2439,2.0786,2.1983,2.0178,2.0007
"5222",1971-04-19,5.7452,6.3494,6.2434,4.8283,6.3017,6.2593,5.7982,6.1321,5.6286,5.5809
"5223",1971-04-20,0.3252,0.3594,0.3534,0.2733,0.3567,0.3543,0.3282,0.3471,0.3186,0.3159
"5224",1971-04-21,0,0,0,0,0,0,0,0,0,0
"5225",1971-04-22,0,0,0,0,0,0,0,0,0,0
"5226",1971-04-23,0,0,0,0,0,0,0,0,0,0
"5227",1971-04-24,0,0,0,0,0,0,0,0,0,0
"5228",1971-04-25,0,0,0,0,0,0,0,0,0,0
"5229",1971-04-26,5.6368,6.2296,6.1256,4.7372,6.1828,6.1412,5.6888,6.0164,5.5224,5.4756
"5230",1971-04-27,0,0,0,0,0,0,0,0,0,0
"5231",1971-04-28,0.3252,0.3594,0.3534,0.2733,0.3567,0.3543,0.3282,0.3471,0.3186,0.3159
"5232",1971-04-29,1.7344,1.9168,1.8848,1.4576,1.9024,1.8896,1.7504,1.8512,1.6992,1.6848
"5233",1971-04-30,0,0,0,0,0,0,0,0,0,0
"5234",1971-05-01,0,0,0,0,0,0,0,0,0,0
"5235",1971-05-02,0,0,0,0,0,0,0,0,0,0
"5236",1971-05-03,0,0,0,0,0,0,0,0,0,0
"5237",1971-05-04,0,0,0,0,0,0,0,0,0,0
"5238",1971-05-05,0,0,0,0,0,0,0,0,0,0
"5239",1971-05-06,0,0,0,0,0,0,0,0,0,0
"5240",1971-05-07,0,0,0,0,0,0,0,0,0,0
"5241",1971-05-08,0,0,0,0,0,0,0,0,0,0
"5242",1971-05-09,1.1112,1.242,1.2096,1.5288,1.1628,1.1628,1.65,1.5672,1.4724,1.5144
"5243",1971-05-10,0,0,0,0,0,0,0,0,0,0
"5244",1971-05-11,0.0926,0.1035,0.1008,0.1274,0.0969,0.0969,0.1375,0.1306,0.1227,0.1262
"5245",1971-05-12,0,0,0,0,0,0,0,0,0,0
"5246",1971-05-13,0.2778,0.3105,0.3024,0.3822,0.2907,0.2907,0.4125,0.3918,0.3681,0.3786
"5247",1971-05-14,0,0,0,0,0,0,0,0,0,0
"5248",1971-05-15,0,0,0,0,0,0,0,0,0,0
"5249",1971-05-16,0.1852,0.207,0.2016,0.2548,0.1938,0.1938,0.275,0.2612,0.2454,0.2524
"5250",1971-05-17,8.1488,9.108,8.8704,11.2112,8.5272,8.5272,12.1,11.4928,10.7976,11.1056
"5251",1971-05-18,6.482,7.245,7.056,8.918,6.783,6.783,9.625,9.142,8.589,8.834
"5252",1971-05-19,0,0,0,0,0,0,0,0,0,0
"5253",1971-05-20,0.3704,0.414,0.4032,0.5096,0.3876,0.3876,0.55,0.5224,0.4908,0.5048
"5254",1971-05-21,0.2778,0.3105,0.3024,0.3822,0.2907,0.2907,0.4125,0.3918,0.3681,0.3786
"5255",1971-05-22,0,0,0,0,0,0,0,0,0,0
"5256",1971-05-23,0,0,0,0,0,0,0,0,0,0
"5257",1971-05-24,0,0,0,0,0,0,0,0,0,0
"5258",1971-05-25,0,0,0,0,0,0,0,0,0,0
"5259",1971-05-26,0,0,0,0,0,0,0,0,0,0
"5260",1971-05-27,0,0,0,0,0,0,0,0,0,0
"5261",1971-05-28,0.463,0.5175,0.504,0.637,0.4845,0.4845,0.6875,0.653,0.6135,0.631
"5262",1971-05-29,47.5038,53.0955,51.7104,65.3562,49.7097,49.7097,70.5375,66.9978,62.9451,64.7406
"5263",1971-05-30,23.8908,26.703,26.0064,32.8692,25.0002,25.0002,35.475,33.6948,31.6566,32.5596
"5264",1971-05-31,0,0,0,0,0,0,0,0,0,0
"5265",1971-06-01,0,0,0,0,0,0,0,0,0,0
"5266",1971-06-02,0,0,0,0,0,0,0,0,0,0
"5267",1971-06-03,0,0,0,0,0,0,0,0,0,0
"5268",1971-06-04,0,0,0,0,0,0,0,0,0,0
"5269",1971-06-05,0,0,0,0,0,0,0,0,0,0
"5270",1971-06-06,0,0,0,0,0,0,0,0,0,0
"5271",1971-06-07,0,0,0,0,0,0,0,0,0,0
"5272",1971-06-08,0,0,0,0,0,0,0,0,0,0
"5273",1971-06-09,1.8753,2.4833,1.7252,2.1603,1.8563,1.6587,2.4814,2.1261,2.1812,1.8316
"5274",1971-06-10,0.1974,0.2614,0.1816,0.2274,0.1954,0.1746,0.2612,0.2238,0.2296,0.1928
"5275",1971-06-11,0,0,0,0,0,0,0,0,0,0
"5276",1971-06-12,0,0,0,0,0,0,0,0,0,0
"5277",1971-06-13,0,0,0,0,0,0,0,0,0,0
